N,time,time,time,time,time
1,6.2523682117,6.2977330685,7.0514805317,7.2969596386,7.2742767334
2,3.6624913216,3.6562554836,3.6478033066,3.6454856396,3.1775751114
3,2.3975780010,2.4473102093,2.4452044964,2.4397592545,2.4054098129
4,1.8122828007,1.8045291901,1.8077492714,1.8182680607,1.8203985691
5,1.4511876106,1.4590444565,1.7729623318,1.7558367252,1.4960610867
6,1.5071363449,1.2707650661,1.2235853672,1.3489320278,1.2541387081
7,1.2678232193,1.0606584549,1.0408105850,1.0376064777,1.0457541943
8,0.9164497852,0.9170267582,0.9261853695,0.9218373299,0.9171526432
9,0.8093111515,0.8134071827,0.8112337589,0.8146357536,0.8120133877
10,0.7303056717,0.7313587666,0.7292833328,0.7289414406,0.7352161407
11,0.6715373993,0.6611111164,0.6606731415,0.6693522930,0.6678493023
12,0.6018242836,0.6144108772,0.6116945744,0.6033158302,0.6102538109